Gender,Home Location,Level of Education,Age(Years),Number of Subjects,Device type used to attend classes,Economic status,Family size,Internet facility in your locality,Are you involved in any sports?,Do elderly people monitor you?,Study time (Hours),Sleep time (Hours),Time spent on social media (Hours),Interested in Gaming?,Have separate room for studying?,Engaged in group studies?,Average marks scored before pandemic in traditional classroom,Your interaction in online mode,Clearing doubts with faculties in online mode,Interested in?,Performance in online,Your level of satisfaction in Online Education
"[0, 1, 0]","[0, 1, 0]","[0, 1, 0, 0]",18,11,"[0, 1, 0, 0]","[0, 1, 0, 0]",4,5,"[0, 1, 0]","[0, 1, 0]",3,6,1,"[0, 1, 0]","[0, 1, 0]","[0, 1, 0]",91-100,1,1,"[0, 1, 0, 0]",6,"[0, 1, 0, 0]"
"[0, 1, 0]","[0, 1, 0]","[0, 1, 0, 0]",19,7,"[0, 1, 0, 0]","[0, 1, 0, 0]",4,1,"[0, 0, 1]","[0, 1, 0]",7,5,1,"[0, 0, 1]","[0, 0, 1]","[0, 1, 0]",91-100,1,1,"[0, 0, 1, 0]",3,"[0, 0, 1, 0]"
"[0, 1, 0]","[0, 0, 1]","[0, 1, 0, 0]",18,5,"[0, 1, 0, 0]","[0, 1, 0, 0]",5,2,"[0, 1, 0]","[0, 1, 0]",6,7,1,"[0, 1, 0]","[0, 0, 1]","[0, 1, 0]",71-80,1,1,"[0, 0, 0, 1]",6,"[0, 0, 1, 0]"
"[0, 1, 0]","[0, 1, 0]","[0, 1, 0, 0]",18,5,"[0, 1, 0, 0]","[0, 1, 0, 0]",4,4,"[0, 0, 1]","[0, 1, 0]",3,6,2,"[0, 1, 0]","[0, 1, 0]","[0, 0, 1]",91-100,1,2,"[0, 0, 1, 0]",4,"[0, 0, 1, 0]"
"[0, 1, 0]","[0, 0, 1]","[0, 1, 0, 0]",18,5,"[0, 1, 0, 0]","[0, 1, 0, 0]",4,3,"[0, 1, 0]","[0, 0, 1]",8,7,2,"[0, 0, 1]","[0, 0, 1]","[0, 0, 1]",81-90,3,3,"[0, 0, 0, 1]",6,"[0, 1, 0, 0]"
"[0, 1, 0]","[0, 1, 0]","[0, 1, 0, 0]",18,5,"[0, 1, 0, 0]","[0, 1, 0, 0]",4,4,"[0, 0, 1]","[0, 1, 0]",3,6,2,"[0, 1, 0]","[0, 1, 0]","[0, 0, 1]",91-100,1,1,"[0, 0, 1, 0]",2,"[0, 0, 1, 0]"
"[0, 1, 0]","[0, 1, 0]","[0, 1, 0, 0]",19,5,"[0, 1, 0, 0]","[0, 1, 0, 0]",5,5,"[0, 1, 0]","[0, 0, 1]",2,6,3,"[0, 0, 1]","[0, 0, 1]","[0, 0, 1]",81-90,4,3,"[0, 0, 0, 1]",6,"[0, 1, 0, 0]"
"[0, 1, 0]","[0, 1, 0]","[0, 1, 0, 0]",17,4,"[0, 1, 0, 0]","[0, 1, 0, 0]",4,4,"[0, 0, 1]","[0, 1, 0]",4,8,6,"[0, 1, 0]","[0, 0, 1]","[0, 1, 0]",61-70,3,3,"[0, 1, 0, 0]",6,"[0, 1, 0, 0]"
"[0, 0, 1]","[0, 1, 0]","[0, 1, 0, 0]",19,5,"[0, 1, 0, 0]","[0, 1, 0, 0]",4,4,"[0, 1, 0]","[0, 1, 0]",6,6,2,"[0, 1, 0]","[0, 0, 1]","[0, 0, 1]",81-90,4,1,"[0, 0, 0, 1]",9,"[0, 0, 1, 0]"
"[0, 0, 1]","[0, 0, 1]","[0, 1, 0, 0]",20,9,"[0, 1, 0, 0]","[0, 1, 0, 0]",4,3,"[0, 1, 0]","[0, 1, 0]",4,7,2,"[0, 1, 0]","[0, 1, 0]","[0, 1, 0]",81-90,3,2,"[0, 0, 1, 0]",6,"[0, 1, 0, 0]"
"[0, 0, 1]","[0, 1, 0]","[0, 1, 0, 0]",18,4,"[0, 0, 1, 0]","[0, 1, 0, 0]",3,5,"[0, 1, 0]","[0, 0, 1]",5,6,3,"[0, 0, 1]","[0, 0, 1]","[0, 1, 0]",81-90,2,1,"[0, 1, 0, 0]",9,"[0, 1, 0, 0]"
"[0, 1, 0]","[0, 0, 1]","[0, 0, 1, 0]",25,5,"[0, 0, 0, 1]","[0, 1, 0, 0]",2,3,"[0, 1, 0]","[0, 1, 0]",3,7,1,"[0, 0, 1]","[0, 0, 1]","[0, 0, 1]",71-80,3,3,"[0, 1, 0, 0]",7,"[0, 1, 0, 0]"
"[0, 1, 0]","[0, 1, 0]","[0, 1, 0, 0]",20,7,"[0, 1, 0, 0]","[0, 1, 0, 0]",4,4,"[0, 0, 1]","[0, 0, 1]",7,5,1,"[0, 0, 1]","[0, 0, 1]","[0, 0, 1]",81-90,4,4,"[0, 0, 0, 1]",6,"[0, 1, 0, 0]"
"[0, 1, 0]","[0, 1, 0]","[0, 1, 0, 0]",17,5,"[0, 1, 0, 0]","[0, 1, 0, 0]",4,4,"[0, 0, 1]","[0, 1, 0]",2,6,2,"[0, 0, 1]","[0, 1, 0]","[0, 0, 1]",81-90,3,2,"[0, 1, 0, 0]",5,"[0, 1, 0, 0]"
"[0, 1, 0]","[0, 1, 0]","[0, 0, 0, 1]",21,5,"[0, 1, 0, 0]","[0, 1, 0, 0]",5,4,"[0, 0, 1]","[0, 1, 0]",5,7,2,"[0, 0, 1]","[0, 1, 0]","[0, 1, 0]",81-90,3,3,"[0, 0, 0, 1]",6,"[0, 1, 0, 0]"
"[0, 1, 0]","[0, 1, 0]","[0, 0, 0, 1]",20,5,"[0, 0, 1, 0]","[0, 1, 0, 0]",4,3,"[0, 0, 1]","[0, 1, 0]",5,6,5,"[0, 0, 1]","[0, 0, 1]","[0, 0, 1]",91-100,2,2,"[0, 0, 0, 1]",5,"[0, 0, 1, 0]"
"[0, 0, 1]","[0, 1, 0]","[0, 0, 1, 0]",20,9,"[0, 1, 0, 0]","[0, 1, 0, 0]",4,4,"[0, 1, 0]","[0, 1, 0]",8,5,2,"[0, 1, 0]","[0, 1, 0]","[0, 1, 0]",31-40,2,2,"[0, 1, 0, 0]",6,"[0, 1, 0, 0]"
"[0, 1, 0]","[0, 0, 1]","[0, 0, 1, 0]",23,5,"[0, 0, 1, 0]","[0, 1, 0, 0]",6,3,"[0, 1, 0]","[0, 0, 1]",5,7,2,"[0, 0, 1]","[0, 0, 1]","[0, 1, 0]",81-90,2,2,"[0, 0, 0, 1]",6,"[0, 0, 1, 0]"
"[0, 0, 1]","[0, 1, 0]","[0, 0, 0, 1]",18,4,"[0, 0, 1, 0]","[0, 1, 0, 0]",4,4,"[0, 1, 0]","[0, 1, 0]",7,7,2,"[0, 1, 0]","[0, 0, 1]","[0, 0, 1]",81-90,2,2,"[0, 0, 1, 0]",7,"[0, 1, 0, 0]"
"[0, 0, 1]","[0, 1, 0]","[0, 1, 0, 0]",19,6,"[0, 1, 0, 0]","[0, 1, 0, 0]",4,5,"[0, 1, 0]","[0, 1, 0]",5,7,4,"[0, 1, 0]","[0, 0, 1]","[0, 1, 0]",81-90,3,2,"[0, 0, 1, 0]",6,"[0, 1, 0, 0]"
"[0, 1, 0]","[0, 1, 0]","[0, 0, 1, 0]",24,20,"[0, 1, 0, 0]","[0, 0, 1, 0]",6,3,"[0, 1, 0]","[0, 0, 1]",8,8,2,"[0, 1, 0]","[0, 1, 0]","[0, 1, 0]",81-90,2,3,"[0, 1, 0, 0]",4,"[0, 0, 1, 0]"
"[0, 0, 1]","[0, 1, 0]","[0, 0, 1, 0]",22,8,"[0, 0, 0, 1]","[0, 1, 0, 0]",4,4,"[0, 1, 0]","[0, 0, 1]",2,8,2,"[0, 0, 1]","[0, 0, 1]","[0, 0, 1]",81-90,3,3,"[0, 0, 0, 1]",10,"[0, 0, 0, 1]"
"[0, 0, 1]","[0, 1, 0]","[0, 0, 0, 1]",19,5,"[0, 0, 0, 1]","[0, 1, 0, 0]",5,5,"[0, 1, 0]","[0, 1, 0]",6,7,2,"[0, 1, 0]","[0, 0, 1]","[0, 0, 1]",61-70,3,3,"[0, 0, 0, 1]",7,"[0, 1, 0, 0]"
"[0, 0, 1]","[0, 1, 0]","[0, 0, 1, 0]",24,8,"[0, 1, 0, 0]","[0, 1, 0, 0]",4,3,"[0, 1, 0]","[0, 1, 0]",7,6,2,"[0, 0, 1]","[0, 1, 0]","[0, 1, 0]",81-90,3,3,"[0, 0, 0, 1]",5,"[0, 1, 0, 0]"
"[0, 0, 1]","[0, 1, 0]","[0, 1, 0, 0]",18,6,"[0, 1, 0, 0]","[0, 1, 0, 0]",4,5,"[0, 1, 0]","[0, 0, 1]",4,5,5,"[0, 1, 0]","[0, 0, 1]","[0, 0, 1]",91-100,3,3,"[0, 0, 1, 0]",6,"[0, 1, 0, 0]"
