,Gender,Home Location,Level of Education,Age(Years),Number of Subjects,Device type used to attend classes,Economic status,Family size,Internet facility in your locality,Are you involved in any sports?,Do elderly people monitor you?,Study time (Hours),Sleep time (Hours),Time spent on social media (Hours),Interested in Gaming?,Have separate room for studying?,Engaged in group studies?,Average marks scored before pandemic in traditional classroom,Your interaction in online mode,Clearing doubts with faculties in online mode,Interested in?,Performance in online,Your level of satisfaction in Online Education
0,Male,Urban,Under Graduate,18,11,Laptop,Middle Class,4,5,No,Yes,3,6,1,No,No,No,95.5,1,1,Practical,6,Average
1,Male,Urban,Under Graduate,19,7,Laptop,Middle Class,4,1,Yes,Yes,7,5,1,Yes,Yes,No,95.5,1,1,Theory,3,Bad
2,Male,Rural,Under Graduate,18,5,Laptop,Middle Class,5,2,No,Yes,6,7,1,No,Yes,No,75.5,1,1,Both,6,Bad
3,Male,Urban,Under Graduate,18,5,Laptop,Middle Class,4,4,Yes,Yes,3,6,2,No,No,yes,95.5,1,2,Theory,4,Bad
4,Male,Rural,Under Graduate,18,5,Laptop,Middle Class,4,3,No,No,8,7,2,Yes,Yes,yes,85.5,3,3,Both,6,Average
5,Male,Urban,Under Graduate,18,5,Laptop,Middle Class,4,4,Yes,Yes,3,6,2,No,No,yes,95.5,1,1,Theory,2,Bad
6,Male,Urban,Under Graduate,19,5,Laptop,Middle Class,5,5,No,No,2,6,3,Yes,Yes,yes,85.5,4,3,Both,6,Average
7,Male,Urban,Under Graduate,17,4,Laptop,Middle Class,4,4,Yes,Yes,4,8,6,No,Yes,No,65.5,3,3,Practical,6,Average
8,Female,Urban,Under Graduate,19,5,Laptop,Middle Class,4,4,No,Yes,6,6,2,No,Yes,yes,85.5,4,1,Both,9,Bad
9,Female,Rural,Under Graduate,20,9,Laptop,Middle Class,4,3,No,Yes,4,7,2,No,No,No,85.5,3,2,Theory,6,Average
10,Female,Urban,Under Graduate,18,4,Desktop,Middle Class,3,5,No,No,5,6,3,Yes,Yes,No,85.5,2,1,Practical,9,Average
11,Male,Rural,Post Graduate,25,5,Mobile,Middle Class,2,3,No,Yes,3,7,1,Yes,Yes,yes,75.5,3,3,Practical,7,Average
12,Male,Urban,Under Graduate,20,7,Laptop,Middle Class,4,4,Yes,No,7,5,1,Yes,Yes,yes,85.5,4,4,Both,6,Average
13,Male,Urban,Under Graduate,17,5,Laptop,Middle Class,4,4,Yes,Yes,2,6,2,Yes,No,yes,85.5,3,2,Practical,5,Average
14,Male,Urban,School,21,5,Laptop,Middle Class,5,4,Yes,Yes,5,7,2,Yes,No,No,85.5,3,3,Both,6,Average
15,Male,Urban,School,20,5,Desktop,Middle Class,4,3,Yes,Yes,5,6,5,Yes,Yes,yes,95.5,2,2,Both,5,Bad
16,Female,Urban,Post Graduate,20,9,Laptop,Middle Class,4,4,No,Yes,8,5,2,No,No,No,35.5,2,2,Practical,6,Average
17,Male,Rural,Post Graduate,23,5,Desktop,Middle Class,6,3,No,No,5,7,2,Yes,Yes,No,85.5,2,2,Both,6,Bad
18,Female,Urban,School,18,4,Desktop,Middle Class,4,4,No,Yes,7,7,2,No,Yes,yes,85.5,2,2,Theory,7,Average
19,Female,Urban,Under Graduate,19,6,Laptop,Middle Class,4,5,No,Yes,5,7,4,No,Yes,No,85.5,3,2,Theory,6,Average
20,Male,Urban,Post Graduate,24,20,Laptop,Poor,6,3,No,No,8,8,2,No,No,No,85.5,2,3,Practical,4,Bad
21,Female,Urban,Post Graduate,22,8,Mobile,Middle Class,4,4,No,No,2,8,2,Yes,Yes,yes,85.5,3,3,Both,10,Good
22,Female,Urban,School,19,5,Mobile,Middle Class,5,5,No,Yes,6,7,2,No,Yes,yes,65.5,3,3,Both,7,Average
23,Female,Urban,Post Graduate,24,8,Laptop,Middle Class,4,3,No,Yes,7,6,2,Yes,No,No,85.5,3,3,Both,5,Average
24,Female,Urban,Under Graduate,18,6,Laptop,Middle Class,4,5,No,No,4,5,5,No,Yes,yes,95.5,3,3,Theory,6,Average
25,Female,Rural,Post Graduate,21,9,Mobile,Middle Class,4,3,No,No,7,8,4,Yes,Yes,No,85.5,3,2,Both,8,Good
26,Female,Urban,Under Graduate,19,7,Mobile,Middle Class,4,4,No,No,6,8,3,No,No,No,75.5,3,3,Theory,7,Average
27,Male,Rural,Under Graduate,21,8,Mobile,Poor,4,3,No,No,1,7,5,Yes,No,No,45.5,3,1,Theory,6,Average
28,Male,Urban,Under Graduate,20,7,Laptop,Middle Class,4,4,Yes,No,3,7,4,Yes,Yes,No,85.5,4,3,Both,8,Average
29,Female,Urban,Under Graduate,17,5,Laptop,Middle Class,3,3,No,Yes,5,6,3,No,No,yes,95.5,3,3,Practical,6,Average
30,Male,Urban,Under Graduate,22,4,Laptop,Middle Class,4,5,Yes,Yes,6,7,3,Yes,Yes,yes,65.5,5,5,Both,10,Good
31,Female,Urban,School,18,3,Desktop,Middle Class,5,5,Yes,Yes,6,8,2,No,Yes,No,85.5,3,3,Theory,8,Average
32,Male,Urban,Post Graduate,21,6,Laptop,Middle Class,5,3,Yes,No,4,6,1,No,No,No,75.5,3,2,Both,5,Average
33,Male,Urban,Under Graduate,19,7,Laptop,Middle Class,4,4,Yes,No,5,7,1,No,Yes,yes,95.5,5,5,Both,6,Good
34,Male,Urban,Under Graduate,18,8,Laptop,Middle Class,3,4,Yes,Yes,4,5,2,No,Yes,No,85.5,3,3,Practical,8,Average
35,Male,Rural,Post Graduate,20,8,Mobile,Middle Class,4,3,No,Yes,4,7,1,No,No,yes,25.5,4,4,Practical,8,Good
