,Age(Years),Number of Subjects,Family size,Internet facility in your locality,Study time (Hours),Sleep time (Hours),Time spent on social media (Hours),Average marks scored before pandemic in traditional classroom,Your interaction in online mode,Clearing doubts with faculties in online mode,Performance in online
0,18,11,4,5,3,6,1,91-100,1,1,6
1,19,7,4,1,7,5,1,91-100,1,1,3
2,18,5,5,2,6,7,1,71-80,1,1,6
3,18,5,4,4,3,6,2,91-100,1,2,4
4,18,5,4,3,8,7,2,81-90,3,3,6
5,18,5,4,4,3,6,2,91-100,1,1,2
6,19,5,5,5,2,6,3,81-90,4,3,6
7,17,4,4,4,4,8,6,61-70,3,3,6
8,19,5,4,4,6,6,2,81-90,4,1,9
9,20,9,4,3,4,7,2,81-90,3,2,6
10,18,4,3,5,5,6,3,81-90,2,1,9
11,25,5,2,3,3,7,1,71-80,3,3,7
12,20,7,4,4,7,5,1,81-90,4,4,6
13,17,5,4,4,2,6,2,81-90,3,2,5
14,21,5,5,4,5,7,2,81-90,3,3,6
15,20,5,4,3,5,6,5,91-100,2,2,5
16,20,9,4,4,8,5,2,31-40,2,2,6
17,23,5,6,3,5,7,2,81-90,2,2,6
18,18,4,4,4,7,7,2,81-90,2,2,7
19,19,6,4,5,5,7,4,81-90,3,2,6
20,24,20,6,3,8,8,2,81-90,2,3,4
21,22,8,4,4,2,8,2,81-90,3,3,10
22,19,5,5,5,6,7,2,61-70,3,3,7
23,24,8,4,3,7,6,2,81-90,3,3,5
24,18,6,4,5,4,5,5,91-100,3,3,6
25,21,9,4,3,7,8,4,81-90,3,2,8
26,19,7,4,4,6,8,3,71-80,3,3,7
27,21,8,4,3,1,7,5,41-50,3,1,6
28,20,7,4,4,3,7,4,81-90,4,3,8
29,17,5,3,3,5,6,3,91-100,3,3,6
30,22,4,4,5,6,7,3,61-70,5,5,10
31,18,3,5,5,6,8,2,81-90,3,3,8
32,21,6,5,3,4,6,1,71-80,3,2,5
33,19,7,4,4,5,7,1,91-100,5,5,6
34,18,8,3,4,4,5,2,81-90,3,3,8
35,20,8,4,3,4,7,1,21-30,4,4,8
36,18,5,3,5,8,7,1,81-90,5,5,9
37,18,6,4,3,3,7,1,71-80,4,4,8
38,21,8,7,3,2,7,8,71-80,2,1,6
39,17,6,4,4,7,9,3,81-90,4,3,9
40,26,2,4,4,1,6,1,81-90,3,2,7
41,19,5,3,4,4,6,4,71-80,2,1,4
42,21,6,4,3,3,7,3,11-20,4,2,4
43,19,5,6,4,7,6,1,81-90,3,3,6
44,18,5,5,2,4,2,3,81-90,2,1,8
45,21,7,4,3,3,8,3,71-80,2,2,8
46,21,7,5,3,3,5,3,71-80,2,3,6
47,21,9,5,3,4,10,3,41-50,2,3,6
48,21,6,5,2,3,6,3,81-90,3,2,6
49,21,8,5,1,6,8,3,31-40,3,1,4
50,9,6,5,5,1,8,10,81-90,2,1,3
51,19,7,4,3,1,7,3,71-80,3,3,7
52,18,7,4,4,2,7,1,91-100,5,4,8
53,23,17,6,4,5,8,2,71-80,4,2,5
54,21,8,4,4,6,8,6,61-70,3,3,7
