,Gender,Home Location,Level of Education,Age(Years),Number of Subjects,Device type used to attend classes,Economic status,Family size,Internet facility in your locality,Are you involved in any sports?,Do elderly people monitor you?,Study time (Hours),Sleep time (Hours),Time spent on social media (Hours),Interested in Gaming?,Have separate room for studying?,Engaged in group studies?,Average marks scored before pandemic in traditional classroom,Your interaction in online mode,Clearing doubts with faculties in online mode,Interested in?,Performance in online,Your level of satisfaction in Online Education
0,Male,Urban,Under Graduate,18.0,11.0,Laptop,Middle Class,4.0,5.0,No,Yes,3.0,6.0,1.0,No,No,No,91-100,1.0,1.0,Practical,6.0,Average
2,Male,Rural,Under Graduate,18.0,5.0,Laptop,Middle Class,5.0,2.0,No,Yes,6.0,7.0,1.0,No,Yes,No,71-80,1.0,1.0,Both,6.0,Bad
3,Male,Urban,Under Graduate,18.0,5.0,Laptop,Middle Class,4.0,4.0,Yes,Yes,3.0,6.0,2.0,No,No,yes,91-100,1.0,2.0,Theory,4.0,Bad
4,Male,Rural,Under Graduate,18.0,5.0,Laptop,Middle Class,4.0,3.0,No,No,8.0,7.0,2.0,Yes,Yes,yes,81-90,3.0,3.0,Both,6.0,Average
6,Male,Urban,Under Graduate,19.0,5.0,Laptop,Middle Class,5.0,5.0,No,No,2.0,6.0,3.0,Yes,Yes,yes,81-90,4.0,3.0,Both,6.0,Average
7,Male,Urban,Under Graduate,17.0,4.0,Laptop,Middle Class,4.0,4.0,Yes,Yes,4.0,8.0,6.0,No,Yes,No,61-70,3.0,3.0,Practical,6.0,Average
8,Female,Urban,Under Graduate,19.0,5.0,Laptop,Middle Class,4.0,4.0,No,Yes,6.0,6.0,2.0,No,Yes,yes,81-90,4.0,1.0,Both,9.0,Bad
9,Female,Rural,Under Graduate,20.0,9.0,Laptop,Middle Class,4.0,3.0,No,Yes,4.0,7.0,2.0,No,No,No,81-90,3.0,2.0,Theory,6.0,Average
10,Female,Urban,Under Graduate,18.0,4.0,Desktop,Middle Class,3.0,5.0,No,No,5.0,6.0,3.0,Yes,Yes,No,81-90,2.0,1.0,Practical,9.0,Average
12,Male,Urban,Under Graduate,20.0,7.0,Laptop,Middle Class,4.0,4.0,Yes,No,7.0,5.0,1.0,Yes,Yes,yes,81-90,4.0,4.0,Both,6.0,Average
13,Male,Urban,Under Graduate,17.0,5.0,Laptop,Middle Class,4.0,4.0,Yes,Yes,2.0,6.0,2.0,Yes,No,yes,81-90,3.0,2.0,Practical,5.0,Average
14,Male,Urban,School,21.0,5.0,Laptop,Middle Class,5.0,4.0,Yes,Yes,5.0,7.0,2.0,Yes,No,No,81-90,3.0,3.0,Both,6.0,Average
15,Male,Urban,School,20.0,5.0,Desktop,Middle Class,4.0,3.0,Yes,Yes,5.0,6.0,5.0,Yes,Yes,yes,91-100,2.0,2.0,Both,5.0,Bad
16,Female,Urban,Post Graduate,20.0,9.0,Laptop,Middle Class,4.0,4.0,No,Yes,8.0,5.0,2.0,No,No,No,31-40,2.0,2.0,Practical,6.0,Average
17,Male,Rural,Post Graduate,23.0,5.0,Desktop,Middle Class,6.0,3.0,No,No,5.0,7.0,2.0,Yes,Yes,No,81-90,2.0,2.0,Both,6.0,Bad
18,Female,Urban,School,18.0,4.0,Desktop,Middle Class,4.0,4.0,No,Yes,7.0,7.0,2.0,No,Yes,yes,81-90,2.0,2.0,Theory,7.0,Average
19,Female,Urban,Under Graduate,19.0,6.0,Laptop,Middle Class,4.0,5.0,No,Yes,5.0,7.0,4.0,No,Yes,No,81-90,3.0,2.0,Theory,6.0,Average
21,Female,Urban,Post Graduate,22.0,8.0,Mobile,Middle Class,4.0,4.0,No,No,2.0,8.0,2.0,Yes,Yes,yes,81-90,3.0,3.0,Both,10.0,Good
22,Female,Urban,School,19.0,5.0,Mobile,Middle Class,5.0,5.0,No,Yes,6.0,7.0,2.0,No,Yes,yes,61-70,3.0,3.0,Both,7.0,Average
24,Female,Urban,Under Graduate,18.0,6.0,Laptop,Middle Class,4.0,5.0,No,No,4.0,5.0,5.0,No,Yes,yes,91-100,3.0,3.0,Theory,6.0,Average
25,Female,Rural,Post Graduate,21.0,9.0,Mobile,Middle Class,4.0,3.0,No,No,7.0,8.0,4.0,Yes,Yes,No,81-90,3.0,2.0,Both,8.0,Good
26,Female,Urban,Under Graduate,19.0,7.0,Mobile,Middle Class,4.0,4.0,No,No,6.0,8.0,3.0,No,No,No,71-80,3.0,3.0,Theory,7.0,Average
27,Male,Rural,Under Graduate,21.0,8.0,Mobile,Poor,4.0,3.0,No,No,1.0,7.0,5.0,Yes,No,No,41-50,3.0,1.0,Theory,6.0,Average
28,Male,Urban,Under Graduate,20.0,7.0,Laptop,Middle Class,4.0,4.0,Yes,No,3.0,7.0,4.0,Yes,Yes,No,81-90,4.0,3.0,Both,8.0,Average
29,Female,Urban,Under Graduate,17.0,5.0,Laptop,Middle Class,3.0,3.0,No,Yes,5.0,6.0,3.0,No,No,yes,91-100,3.0,3.0,Practical,6.0,Average
30,Male,Urban,Under Graduate,22.0,4.0,Laptop,Middle Class,4.0,5.0,Yes,Yes,6.0,7.0,3.0,Yes,Yes,yes,61-70,5.0,5.0,Both,10.0,Good
31,Female,Urban,School,18.0,3.0,Desktop,Middle Class,5.0,5.0,Yes,Yes,6.0,8.0,2.0,No,Yes,No,81-90,3.0,3.0,Theory,8.0,Average
32,Male,Urban,Post Graduate,21.0,6.0,Laptop,Middle Class,5.0,3.0,Yes,No,4.0,6.0,1.0,No,No,No,71-80,3.0,2.0,Both,5.0,Average
33,Male,Urban,Under Graduate,19.0,7.0,Laptop,Middle Class,4.0,4.0,Yes,No,5.0,7.0,1.0,No,Yes,yes,91-100,5.0,5.0,Both,6.0,Good
34,Male,Urban,Under Graduate,18.0,8.0,Laptop,Middle Class,3.0,4.0,Yes,Yes,4.0,5.0,2.0,No,Yes,No,81-90,3.0,3.0,Practical,8.0,Average
35,Male,Rural,Post Graduate,20.0,8.0,Mobile,Middle Class,4.0,3.0,No,Yes,4.0,7.0,1.0,No,No,yes,21-30,4.0,4.0,Practical,8.0,Good
36,Male,Urban,Under Graduate,18.0,5.0,Laptop,Middle Class,3.0,5.0,Yes,No,8.0,7.0,1.0,Yes,Yes,No,81-90,5.0,5.0,Practical,9.0,Good
37,Male,Urban,Under Graduate,18.0,6.0,Laptop,Middle Class,4.0,3.0,No,Yes,3.0,7.0,1.0,No,No,No,71-80,4.0,4.0,Practical,8.0,Average
39,Female,Rural,Under Graduate,17.0,6.0,Laptop,Middle Class,4.0,4.0,No,No,7.0,9.0,3.0,No,Yes,No,81-90,4.0,3.0,Both,9.0,Good
